Date,Apple ,Google ,Microsoft ,Amazon ,Intel ,VTI ,,,,,
10/28/2011,14.4625,298.949463,26.98,217.320007,24.98,65.949997,,,,,
10/31/2011,14.456429,295.21347,26.629999,213.509995,24.540001,64.279999,,,,,
11/1/2011,14.161072,288.244598,25.99,212.100006,23.9,62.57,,,,,
11/2/2011,14.193214,291.318054,26.01,215.619995,23.85,63.599998,,,,,
11/3/2011,14.395357,297.634399,26.530001,218.289993,24.200001,64.839996,,,,,
11/4/2011,14.294286,296.95694,26.25,216.479996,23.74,64.489998,,,,,
11/7/2011,14.276072,303.029175,26.799999,217,24.280001,64.82,,,,,
11/8/2011,14.508214,305.026672,27.16,217.990005,24.75,65.599998,,,,,
11/9/2011,14.117143,299.352966,26.200001,211.220001,23.84,63.099998,,,,,
11/10/2011,13.757857,296.428925,26.280001,210.789993,24.059999,63.66,,,,,
11/11/2011,13.736428,303.039124,26.91,217.389999,24.85,64.919998,,,,,
11/14/2011,13.545,305.355438,26.76,218.929993,24.629999,64.279999,,,,,
11/15/2011,13.886786,307.128815,26.74,217.830002,25.34,64.669998,,,,,
11/16/2011,13.741786,304.593323,26.07,211.990005,24.940001,63.59,,,,,
11/17/2011,13.478929,299.31311,25.540001,204.520004,24.34,62.549999,,,,,
11/18/2011,13.390715,296.329285,25.299999,197.139999,24.290001,62.459999,,,,,
11/21/2011,13.178928,289.385315,25,189.25,23.57,61.299999,,,,,
11/22/2011,13.446786,288.917053,24.790001,192.339996,23.24,61.009998,,,,,
11/23/2011,13.106786,283.99054,24.469999,188.990005,22.700001,59.650002,,,,,
11/25/2011,12.984643,280.448822,24.299999,182.399994,22.73,59.459999,,,,,
11/28/2011,13.432858,292.996765,24.870001,194.149994,23.459999,61.25,,,,,
11/29/2011,13.328571,290.376587,24.84,188.389999,23.58,61.439999,,,,,
11/30/2011,13.65,298.575867,25.58,192.289993,24.91,64.040001,,,,,
12/1/2011,13.854643,305.739014,25.280001,197.130005,24.92,64.040001,,,,,
12/2/2011,13.917857,309.021698,25.219999,196.029999,24.639999,64.010002,,,,,
12/5/2011,14.036072,311.65683,25.700001,196.240005,25.01,64.709999,,,,,
12/6/2011,13.9625,310.720337,25.66,191.990005,25.35,64.739998,,,,,
12/7/2011,13.896071,310.531067,25.6,195.320007,25.66,64.910004,,,,,
12/8/2011,13.952143,306.874756,25.4,190.479996,24.709999,63.439999,,,,,
12/9/2011,14.057858,312.538544,25.700001,193.029999,25.01,64.57,,,,,
12/12/2011,13.994286,311.527313,25.51,189.520004,24,63.580002,,,,,
12/13/2011,13.886071,311.646881,25.76,180.509995,23.559999,62.900002,,,,,
12/14/2011,13.578215,307.880981,25.59,180.210007,23.309999,62.18,,,,,
12/15/2011,13.533571,308.613251,25.559999,181.259995,23.309999,62.41,,,,,
12/16/2011,13.607857,311.811249,26,181.259995,23.23,62.619999,,,,,
12/19/2011,13.650357,309.753967,25.530001,179.330002,23.1,61.889999,,,,,
12/20/2011,14.141071,314.008026,26.030001,182.520004,23.84,63.830002,,,,,
12/21/2011,14.158929,311.741516,25.76,174.350006,23.68,63.59,,,,,
12/22/2011,14.233929,313.674286,25.809999,179.029999,24.02,64.25,,,,,
12/23/2011,14.404643,315.387848,26.030001,177.279999,24.4,64.739998,,,,,
12/27/2011,14.518929,318.929565,26.040001,176.270004,24.559999,64.75,,,,,
12/28/2011,14.38,318.655609,25.82,173.889999,24.23,63.959999,,,,,
12/29/2011,14.468572,320.000549,26.02,173.860001,24.549999,64.589996,,,,,
12/30/2011,14.464286,321.744019,25.959999,173.100006,24.25,64.300003,,,,,
1/3/2012,14.686786,331.462585,26.77,179.029999,24.540001,65.209999,,,,,
1/4/2012,14.765715,332.892242,27.4,177.509995,25.110001,65.239998,,,,,
1/5/2012,14.929643,328.274536,27.68,177.610001,25.4,65.529999,,,,,
1/6/2012,15.085714,323.796326,28.110001,182.610001,25.25,65.379997,,,,,
1/9/2012,15.061786,310.06778,27.74,178.559998,25.469999,65.529999,,,,,
1/10/2012,15.115714,310.406525,27.84,179.339996,25.59,66.18,,,,,
1/11/2012,15.091071,311.811249,27.719999,178.899994,25.799999,66.300003,,,,,
1/12/2012,15.049643,313.644379,28,175.929993,25.75,66.459999,,,,,
1/13/2012,14.993215,311.328064,28.25,178.419998,25.139999,66.150002,,,,,
1/17/2012,15.167857,313.116364,28.26,181.660004,25.040001,66.300003,,,,,
1/18/2012,15.325357,315.273285,28.23,189.440002,25.389999,67.099998,,,,,
1/19/2012,15.276786,318.590851,28.120001,194.449997,25.629999,67.510002,,,,,
1/20/2012,15.010715,291.900879,29.709999,190.929993,26.379999,67.529999,,,,,
1/23/2012,15.264643,291.666748,29.73,186.089996,26.709999,67.550003,,,,,
1/24/2012,15.014643,289.380341,29.34,187,26.9,67.540001,,,,,
1/25/2012,15.952143,283.681702,29.559999,187.800003,26.9,68.160004,,,,,
1/26/2012,15.879642,282.989288,29.5,193.320007,26.75,67.809998,,,,,
1/27/2012,15.974286,288.907104,29.23,195.369995,26.73,67.860001,,,,,
1/30/2012,16.178928,287.766388,29.610001,192.149994,26.74,67.589996,,,,,
1/31/2012,16.302856,288.971863,29.530001,194.440002,26.42,67.559998,,,,,
2/1/2012,16.2925,289.330505,29.889999,179.460007,26.549999,68.339996,,,,,
2/2/2012,16.254286,291.462524,29.950001,181.720001,26.49,68.459999,,,,,
2/3/2012,16.417143,297.051575,30.24,187.679993,26.74,69.480003,,,,,
2/6/2012,16.570356,303.407745,30.200001,183.139999,26.719999,69.440002,,,,,
2/7/2012,16.743929,302.252075,30.35,184.190002,26.639999,69.599998,,,,,
2/8/2012,17.024286,303.786346,30.66,185.479996,26.85,69.75,,,,,
2/9/2012,17.613214,304.588318,30.77,184.979996,26.860001,69.860001,,,,,
2/10/2012,17.622143,301.8237,30.5,185.539993,26.700001,69.309998,,,,,
2/13/2012,17.950001,304.95694,30.58,191.589996,26.700001,69.839996,,,,,
2/14/2012,18.195,303.741516,30.25,191.300003,26.780001,69.739998,,,,,
2/15/2012,17.773928,301.649353,30.049999,184.470001,26.58,69.440002,,,,,
2/16/2012,17.936071,302.127563,31.290001,179.929993,26.83,70.269997,,,,,
2/17/2012,17.932858,301.191071,31.25,182.5,27.370001,70.370003,,,,,
2/21/2012,18.387501,305.853577,31.440001,182.259995,27.16,70.339996,,,,,
2/22/2012,18.322857,302.8349,31.27,180.580002,26.73,70.120003,,,,,
2/23/2012,18.442499,301.923309,31.370001,178.889999,26.66,70.510002,,,,,
2/24/2012,18.657499,303.811249,31.48,179.130005,26.700001,70.610001,,,,,
2/27/2012,18.777143,303.517334,31.35,178.529999,26.889999,70.669998,,,,,
2/28/2012,19.121786,308.040375,31.870001,183.800003,27.24,70.870003,,,,,
2/29/2012,19.372858,307.970642,31.74,179.690002,26.879999,70.410004,,,,,
3/1/2012,19.445356,310.037903,32.290001,180.039993,26.860001,70.949997,,,,,
3/2/2012,19.470715,309.465057,32.080002,179.300003,26.92,70.599998,,,,,
3/5/2012,19.04143,305.978119,31.799999,180.259995,26.540001,70.279999,,,,,
3/6/2012,18.937857,301.350464,31.559999,181.089996,26.610001,69.150002,,,,,
3/7/2012,18.953215,302.267029,31.84,183.770004,26.91,69.75,,,,,
3/8/2012,19.356785,302.436401,32.009998,187.639999,26.84,70.470001,,,,,
3/9/2012,19.470358,299.004272,31.99,184.320007,27.07,70.82,,,,,
3/12/2012,19.714285,301.445099,32.040001,183.389999,26.99,70.769997,,,,,
3/13/2012,20.289286,307.736542,32.669998,184.589996,27.49,72.080002,,,,,
3/14/2012,21.056429,306.844879,32.77,182.259995,27.459999,71.93,,,,,
3/15/2012,20.912857,309.405273,32.849998,184.429993,27.75,72.349998,,,,,
3/16/2012,20.913214,311.352966,32.599998,185.050003,27.73,72.459999,,,,,
3/19/2012,21.467857,315.806274,32.200001,185.520004,27.74,72.730003,,,,,
3/20/2012,21.641428,315.562195,31.99,192.330002,27.75,72.480003,,,,,
3/21/2012,21.517857,318.795074,31.91,191.729996,27.780001,72.400002,,,,,
